City,Temperature (°C),Min_Temperature (°C),Max_Temperature (°C),Feels_Like (°C),Pressure (hpa),Weather,Humidity (%),Wind Speed (m/s),TimeZone (sec)
Mumbai,29.99,29.99,29.99,31.7,1010,smoke,54,3.09,19800
Mumbai,29.99,29.99,29.99,31.7,1010,smoke,54,3.09,19800
Andheri,10.47,10.47,10.47,9.79,1014,clear sky,85,0.99,20700
Borivali,29.95,29.95,29.95,31.63,1010,smoke,54,3.09,19800
Pune,27.53,27.53,27.53,28.26,1011,broken clouds,54,2.09,19800
Pimpri-Chinchwad,27.66,27.66,27.66,28.41,1011,overcast clouds,54,1.34,19800
Haveli Lakha,17.69,17.69,17.69,15.88,1013,clear sky,14,2.64,18000
Mulshi,25.07,25.07,25.07,25.3,1011,overcast clouds,64,0.82,19800
Khed,26.64,26.64,26.64,26.64,1010,few clouds,73,0.55,19800
Aundh,26.31,26.31,26.31,26.31,1011,overcast clouds,52,1.1,19800
Junnar,26.37,26.37,26.37,26.37,1012,overcast clouds,58,1.03,19800
Nagpur,27.01,27.01,27.01,29.22,1011,haze,74,1.54,19800
Kamptee,27.17,27.17,27.17,27.58,1011,overcast clouds,50,0.11,19800
Narkhed,25.3,25.3,25.3,25.17,1012,overcast clouds,49,2.75,19800
Umred,27.3,27.3,27.3,27.44,1011,overcast clouds,46,0.81,19800
Saoner,26.4,26.4,26.4,26.4,1011,overcast clouds,55,0.77,19800
Nashik,24.6,24.6,24.6,24.71,1012,overcast clouds,61,3.23,19800
Nāndgaon,27.82,27.82,27.82,28.51,1011,overcast clouds,53,3.26,19800
Dindori,15.84,15.84,15.84,14.81,1014,clear sky,51,1.61,19800
Trimbak,22.78,22.78,22.78,22.78,1012,scattered clouds,64,2.63,19800
Igatpuri,24.78,24.78,24.78,24.88,1011,scattered clouds,60,3.3,19800
Aurangabad,25.05,25.05,25.05,25.78,1012,haze,83,0,19800
Jālna,24.83,24.83,24.83,25.17,1012,overcast clouds,69,2.28,19800
Paithan,27.74,27.74,27.74,28.69,1011,overcast clouds,56,1.24,19800
Sillod,23.22,23.22,23.22,23.53,1012,scattered clouds,74,2.3,19800
Kannad,24.21,24.21,24.21,24.44,1012,broken clouds,67,2.42,19800
Kolhāpur,27.31,27.31,27.31,28.24,1011,overcast clouds,57,0.66,19800
Shirol,27.99,27.99,27.99,28.71,1011,overcast clouds,53,1.24,19800
